,satisfaccion,desempeño,numero proyectos,promedio horas mes,tiempo en empresa,accidente laboral,retiro,Ascenso,Departamento,salario
81,0.38,0.49,2,151,3,0,1,0,,bajo
82,0.79,0.59,4,139,3,0,1,1,gerencia y admon,bajo
83,0.84,0.85,4,249,6,0,1,0,publicidad,bajo
84,0.11,0.77,6,291,4,0,1,0,publicidad,bajo
85,0.11,0.87,6,305,4,0,1,0,publicidad,bajo
86,0.17,0.84,5,232,3,0,1,0,ventas,bajo
87,0.44,0.45,2,132,3,0,1,0,ventas,bajo
88,0.37,0.57,2,130,3,0,1,0,ventas,bajo
89,0.1,0.79,6,291,4,0,1,0,ventas,bajo
90,0.4,0.5,2,130,3,0,1,0,ventas,bajo
91,0.89,1.0,5,246,5,0,1,0,ventas,bajo
92,0.42,0.48,2,143,3,0,1,0,ventas,bajo
93,0.46,0.55,2,129,3,0,1,0,ventas,bajo
94,0.09,0.83,6,255,4,0,1,0,ventas,bajo
95,0.37,0.51,2,155,3,0,1,0,ventas,bajo
96,0.1,0.77,6,265,4,0,1,0,ventas,bajo
97,0.1,0.84,6,279,4,0,1,0,ventas,bajo
98,0.11,0.97,6,284,4,0,1,0,ventas,bajo
99,0.9,1.0,5,221,6,0,1,0,ventas,medio
100,0.38,0.52,2,154,3,0,1,0,ventas,medio
101,0.36,0.52,2,147,3,0,1,0,ventas,medio
102,0.42,0.46,2,150,3,0,1,0,ventas,medio
103,0.09,0.94,7,267,4,0,1,0,ventas,medio
104,0.43,0.52,2,158,3,0,1,0,ventas,medio
105,0.24,0.46,7,224,5,0,1,0,finanzas,medio
106,0.91,1.0,4,257,5,0,1,0,finanzas,medio
107,0.44,0.5,2,148,3,0,1,0,finanzas,medio
108,0.71,0.87,3,177,4,0,1,0,rr.hh.,medio
109,0.4,0.49,2,155,3,0,1,0,rr.hh.,medio
110,0.43,0.47,2,144,3,0,1,0,rr.hh.,medio
111,0.09,0.85,6,289,4,0,1,0,rr.hh.,alto
112,0.43,0.52,2,160,3,0,1,0,,bajo
113,0.9,0.96,4,258,5,0,1,0,,medio
114,0.84,1.0,5,234,5,0,1,0,,medio
115,0.37,0.48,2,137,3,0,1,0,,medio
116,0.86,0.68,5,263,2,0,1,0,,medio
117,0.11,0.84,6,251,4,0,1,0,,bajo
118,0.37,0.57,2,133,3,0,1,0,,bajo
119,0.4,0.46,2,132,3,0,1,0,,bajo
120,0.14,0.62,4,158,4,1,1,0,,bajo
121,0.4,0.46,2,135,3,0,1,0,,bajo
122,0.75,1.0,4,216,6,0,1,0,,bajo
123,0.11,0.84,6,300,5,1,1,0,mantenimiento,bajo
124,0.46,0.49,2,138,3,0,1,0,mantenimiento,bajo
125,0.11,0.92,6,260,4,0,1,0,mantenimiento,bajo
126,0.38,0.49,2,132,3,0,1,0,mantenimiento,bajo
127,0.7,0.89,3,183,5,0,1,0,mantenimiento,bajo
128,0.09,0.82,6,250,4,0,1,0,mantenimiento,bajo
129,0.37,0.45,2,151,3,0,1,0,mantenimiento,bajo
130,0.1,0.83,6,292,4,0,1,0,mantenimiento,bajo
131,0.38,0.57,2,140,3,0,1,0,mantenimiento,bajo
132,0.9,1.0,5,221,5,0,1,0,mantenimiento,bajo
133,0.44,0.51,2,138,3,0,1,0,mantenimiento,bajo
134,0.36,0.5,2,132,3,0,1,0,,bajo
135,0.31,0.84,7,133,5,0,1,0,,bajo
136,0.1,0.84,6,283,4,1,1,0,,bajo
137,0.42,0.48,2,129,3,0,1,0,gerencia y admon,bajo
138,0.74,1.0,4,249,5,0,1,0,sistemas,bajo
139,0.73,0.87,5,257,5,0,1,0,sistemas,bajo
140,0.09,0.96,6,245,4,0,1,0,sistemas,bajo
141,0.45,0.53,2,155,3,0,1,0,sistemas,bajo
142,0.11,0.8,6,256,4,0,1,0,sistemas,bajo
143,0.37,0.47,2,152,3,0,1,0,calidad,bajo
144,0.84,0.99,4,267,5,0,1,0,calidad,bajo
145,0.41,0.46,2,151,3,0,1,0,calidad,bajo
146,0.76,0.92,4,239,5,0,1,0,calidad,bajo
147,0.11,0.87,6,306,4,0,1,0,sistemas,bajo
148,0.84,0.88,4,263,5,1,1,0,publicidad,bajo
149,0.39,0.5,2,147,3,0,1,0,publicidad,bajo
150,0.11,0.91,6,278,4,0,1,0,publicidad,bajo
151,0.45,0.56,2,154,3,0,1,0,publicidad,bajo
152,0.37,0.52,2,143,3,0,1,0,publicidad,bajo
153,0.4,0.52,2,155,3,0,1,0,publicidad,bajo
154,0.39,0.48,2,160,3,0,1,0,ventas,bajo
155,0.11,0.8,6,304,4,0,1,0,finanzas,bajo
156,0.83,1.0,5,240,5,0,1,0,mantenimiento,bajo
157,0.11,0.92,6,305,4,0,1,0,,bajo
158,0.39,0.5,2,136,3,0,1,0,gerencia y admon,bajo
159,0.45,0.45,2,132,3,0,1,0,publicidad,bajo
160,0.1,0.95,7,301,4,0,1,0,publicidad,bajo
161,0.9,0.98,5,243,6,0,1,0,publicidad,bajo
162,0.45,0.51,2,147,3,0,1,0,ventas,bajo
163,0.79,0.89,5,239,5,0,1,0,ventas,bajo
164,0.9,0.99,5,260,5,0,1,0,ventas,bajo
165,0.11,0.84,7,296,4,0,1,0,ventas,bajo
166,0.43,0.55,2,129,3,0,1,0,ventas,bajo
167,0.31,0.54,5,132,5,0,1,0,ventas,bajo
168,0.32,0.5,2,135,5,0,1,0,ventas,bajo
169,0.45,0.57,2,158,3,0,1,0,ventas,bajo
170,0.81,0.99,4,259,5,0,1,0,ventas,bajo
171,0.41,0.46,2,160,3,0,1,1,ventas,bajo
172,0.11,0.78,7,278,4,0,1,0,ventas,bajo
173,0.1,0.88,6,284,4,0,1,0,ventas,bajo
174,0.7,0.53,2,274,4,0,1,0,ventas,bajo
175,0.54,0.74,4,164,2,0,1,0,ventas,bajo
176,0.41,0.48,2,148,3,0,1,0,ventas,bajo
177,0.38,0.5,2,140,3,0,1,0,ventas,medio
178,0.37,0.51,2,127,3,0,1,0,ventas,medio
179,0.11,0.85,6,308,5,0,1,0,ventas,medio
180,0.4,0.47,2,146,3,0,1,0,ventas,medio
181,0.1,0.84,6,261,4,0,1,0,finanzas,medio
182,0.89,0.99,5,257,5,0,1,0,finanzas,medio
183,0.11,0.8,6,285,4,0,1,0,finanzas,medio
184,0.36,0.55,2,141,3,0,1,0,rr.hh.,medio
185,0.4,0.46,2,127,3,0,1,0,rr.hh.,medio
186,0.09,0.85,6,297,4,0,1,0,rr.hh.,medio
187,0.4,0.46,2,143,3,0,1,0,rr.hh.,medio
188,0.37,0.55,2,152,3,0,1,0,,medio
189,0.44,0.51,2,156,3,0,1,0,,alto
190,0.09,0.8,7,283,5,0,1,0,,bajo
191,0.92,0.87,4,226,6,1,1,0,,medio
192,0.74,0.91,4,232,5,0,1,0,,medio
193,0.09,0.82,6,249,4,0,1,0,,medio
194,0.89,0.95,4,275,5,0,1,0,,medio
195,0.09,0.8,6,304,4,0,1,0,,bajo
196,0.27,0.54,7,278,3,0,1,0,,bajo
197,0.1,0.91,6,287,4,0,1,0,,bajo
198,0.1,0.89,7,285,4,0,1,0,,bajo
199,0.77,0.94,5,226,6,0,1,0,mantenimiento,bajo
200,0.9,0.82,5,259,5,0,1,0,mantenimiento,bajo
201,0.39,0.5,2,135,3,0,1,0,mantenimiento,bajo
202,0.76,1.0,5,219,5,0,1,0,mantenimiento,bajo
203,0.1,0.93,6,256,4,0,1,0,mantenimiento,bajo
204,0.87,0.9,5,254,6,0,1,0,mantenimiento,bajo
205,0.38,0.5,2,153,3,0,1,0,mantenimiento,bajo
206,0.77,0.99,5,228,5,0,1,0,mantenimiento,bajo
207,0.78,0.87,4,228,5,0,1,0,mantenimiento,bajo
208,0.44,0.5,2,128,3,0,1,0,mantenimiento,bajo
209,0.38,0.52,2,153,3,0,1,0,mantenimiento,bajo
210,0.43,0.46,2,156,3,0,1,0,,bajo
211,0.39,0.5,4,294,3,0,1,0,,bajo
212,0.88,1.0,5,219,5,0,1,0,,bajo
213,0.45,0.46,2,153,3,0,1,0,gerencia y admon,bajo
214,0.4,0.53,2,151,3,0,1,0,sistemas,bajo
215,0.36,0.51,2,155,3,0,1,0,sistemas,bajo
216,0.36,0.48,2,158,3,0,1,0,sistemas,bajo
217,0.9,0.98,5,245,5,0,1,0,sistemas,bajo
218,0.43,0.53,2,131,3,0,1,0,sistemas,bajo
219,0.89,0.87,5,225,5,0,1,0,calidad,bajo
220,0.1,0.84,6,286,4,0,1,0,calidad,bajo
221,0.37,0.5,2,135,3,0,1,0,calidad,bajo
222,0.37,0.51,2,153,3,0,1,0,calidad,bajo
223,0.87,0.9,5,252,5,0,1,0,sistemas,bajo
224,0.4,0.56,2,149,3,0,1,0,finanzas,bajo
225,0.9,0.97,4,258,5,0,1,0,finanzas,bajo
226,0.37,0.46,2,158,3,0,1,0,rr.hh.,bajo
227,0.44,0.54,2,149,3,0,1,0,rr.hh.,bajo
228,0.85,0.95,5,236,5,0,1,0,rr.hh.,bajo
229,0.78,0.98,5,239,6,0,1,0,publicidad,bajo
230,0.42,0.47,2,159,3,0,1,0,publicidad,bajo
231,0.92,0.99,5,255,6,0,1,0,ventas,bajo
232,0.11,0.83,6,244,4,0,1,0,finanzas,bajo
233,0.42,0.56,2,134,3,0,1,0,mantenimiento,bajo
234,0.48,0.57,4,270,4,0,1,0,,bajo
235,0.83,0.85,4,255,5,0,1,0,gerencia y admon,bajo
236,0.4,0.53,2,151,3,0,1,0,publicidad,bajo
237,0.43,0.45,2,135,3,0,1,0,publicidad,bajo
238,0.43,0.53,2,146,3,0,1,0,publicidad,bajo
239,0.1,0.97,7,254,4,0,1,0,ventas,bajo
240,0.1,0.87,7,289,4,0,1,0,ventas,bajo
241,0.37,0.46,2,156,3,0,1,0,ventas,bajo
242,0.38,0.53,2,156,3,0,1,0,ventas,bajo
243,0.4,0.5,2,128,3,0,1,0,ventas,bajo
244,0.89,0.86,5,275,5,0,1,0,ventas,bajo
245,0.45,0.46,2,155,3,0,1,0,ventas,bajo
246,0.37,0.48,2,159,3,0,1,0,ventas,bajo
247,0.46,0.49,2,148,3,0,1,0,ventas,bajo
248,0.87,0.91,4,228,5,0,1,0,ventas,bajo
249,0.11,0.84,6,298,4,0,1,0,ventas,bajo
250,0.79,0.87,5,261,5,0,1,0,ventas,bajo
251,0.79,0.92,5,254,6,0,1,0,ventas,bajo
252,0.19,0.59,7,192,3,0,1,0,ventas,bajo
253,0.87,0.98,4,248,5,0,1,0,ventas,bajo
254,0.6,0.92,2,258,5,0,1,0,ventas,bajo
255,0.44,0.45,2,156,3,0,1,0,ventas,medio
256,0.11,0.81,6,266,4,1,1,0,ventas,medio
257,0.42,0.54,2,156,3,0,1,0,ventas,medio
258,0.88,0.88,5,232,5,1,1,0,finanzas,medio
259,0.11,0.84,6,287,4,0,1,0,finanzas,medio
260,0.46,0.46,2,154,3,0,1,0,finanzas,medio
261,0.82,0.97,5,263,5,0,1,0,rr.hh.,medio
262,0.44,0.56,2,131,3,0,1,0,rr.hh.,medio
263,0.11,0.78,6,260,4,0,1,0,rr.hh.,medio
264,0.42,0.5,2,139,3,0,1,0,rr.hh.,medio
265,0.84,0.93,4,251,5,0,1,0,,medio
266,0.11,0.95,6,286,4,0,1,0,,medio
267,0.45,0.53,2,129,3,0,1,0,,alto
268,0.38,0.56,2,156,3,0,1,0,,bajo
269,0.38,0.86,6,139,6,0,1,0,,medio
270,0.44,0.51,2,127,3,0,1,0,,medio
271,0.11,0.84,6,251,4,0,1,0,,medio
272,0.81,0.93,5,270,5,0,1,0,,medio
273,0.09,0.96,6,296,4,0,1,0,,bajo
274,0.11,0.9,6,254,4,0,1,0,,bajo
275,0.81,0.95,5,238,6,0,1,0,,bajo
276,0.1,0.97,6,267,4,1,1,0,mantenimiento,bajo
277,0.74,0.89,5,229,6,0,1,0,mantenimiento,bajo
278,0.09,0.78,6,254,4,0,1,0,mantenimiento,bajo
279,0.82,0.81,4,233,4,1,1,0,mantenimiento,bajo
280,0.1,0.98,6,268,4,0,1,0,mantenimiento,bajo
281,0.27,0.56,3,301,3,0,1,0,mantenimiento,bajo
282,0.83,0.92,5,267,6,0,1,0,mantenimiento,bajo
283,0.1,0.93,6,289,4,1,1,0,mantenimiento,bajo
284,0.38,0.47,2,144,3,0,1,0,mantenimiento,bajo
285,0.4,0.56,2,148,3,0,1,0,mantenimiento,bajo
286,0.11,0.83,6,306,4,0,1,0,mantenimiento,bajo
287,0.11,0.79,6,292,4,0,1,1,,bajo
288,0.82,0.91,5,232,5,0,1,0,,bajo
289,0.36,0.48,2,137,3,0,1,0,,bajo
290,0.4,0.46,2,128,3,0,1,0,gerencia y admon,bajo
291,0.87,0.84,5,231,5,0,1,0,sistemas,bajo
292,0.41,0.49,2,146,3,0,1,0,sistemas,bajo
293,0.11,0.91,6,308,4,1,1,0,sistemas,bajo
294,0.1,0.93,6,253,4,0,1,0,sistemas,medio
295,0.38,0.51,2,146,3,0,1,0,sistemas,medio
296,0.39,0.55,2,156,3,0,1,0,calidad,medio
297,0.4,0.52,2,147,3,0,1,0,calidad,medio
298,0.45,0.48,2,136,3,0,1,0,calidad,medio
299,0.74,0.84,5,249,5,0,1,0,calidad,medio
300,0.45,0.55,2,151,3,0,1,0,sistemas,medio
301,0.12,1.0,3,278,4,0,1,0,i+d,medio
302,0.1,0.77,7,250,5,0,1,0,i+d,medio
303,0.37,0.55,2,127,3,0,1,0,i+d,medio
304,0.89,0.87,5,255,5,0,1,0,i+d,medio
305,0.45,0.47,2,135,3,0,1,0,i+d,medio
306,0.37,0.46,2,149,3,0,1,0,publicidad,alto
307,0.11,0.81,5,287,4,0,1,0,ventas,bajo
308,0.41,0.48,2,145,3,0,1,0,finanzas,medio
309,0.1,0.94,6,285,4,0,1,0,mantenimiento,medio
310,0.1,0.93,7,305,4,0,1,0,,medio
311,0.11,0.95,7,300,4,0,1,0,gerencia y admon,medio
312,0.4,0.54,2,139,3,0,1,0,publicidad,bajo
313,0.41,0.49,2,130,3,0,1,0,publicidad,bajo
314,0.1,0.81,6,268,4,0,1,0,publicidad,bajo
315,0.73,0.86,4,245,6,0,1,0,ventas,bajo
316,0.43,0.47,2,135,3,0,1,0,ventas,bajo
317,0.37,0.46,2,153,3,0,1,0,ventas,bajo
318,0.11,0.94,6,276,4,0,1,0,ventas,bajo
319,0.4,0.46,2,130,3,0,1,0,ventas,bajo
320,0.41,0.54,2,153,3,1,1,0,ventas,bajo
321,0.82,0.84,5,244,5,0,1,0,ventas,bajo
322,0.61,0.47,2,253,3,0,1,0,ventas,bajo
323,0.11,0.91,7,287,4,0,1,0,ventas,bajo
324,0.37,0.45,2,131,3,0,1,0,ventas,bajo
325,0.41,0.52,2,135,3,0,1,0,ventas,bajo
326,0.37,0.52,2,157,3,0,1,0,ventas,bajo
327,0.88,0.99,5,262,6,0,1,0,ventas,bajo
328,0.1,0.85,6,266,4,0,1,0,ventas,bajo
329,0.44,0.48,2,148,3,0,1,0,ventas,bajo
330,0.38,0.57,2,140,3,0,1,0,ventas,bajo
331,0.11,0.85,7,302,4,0,1,0,ventas,bajo
332,0.09,0.98,6,271,4,0,1,0,ventas,bajo
333,0.45,0.52,2,145,3,0,1,0,ventas,medio
334,0.1,0.81,6,290,4,0,1,0,finanzas,medio
335,0.45,0.47,2,151,3,0,1,0,finanzas,medio
336,0.77,0.87,5,266,5,0,1,0,finanzas,medio
337,0.44,0.51,2,140,3,0,1,0,rr.hh.,medio
338,0.39,0.5,2,142,3,0,1,0,rr.hh.,medio
339,0.1,0.91,6,246,4,0,1,0,rr.hh.,medio
340,0.09,0.89,7,308,5,0,1,0,rr.hh.,medio
341,0.37,0.47,2,141,3,0,1,0,,medio
342,0.9,1.0,5,232,5,0,1,0,,medio
343,0.41,0.56,2,143,3,0,1,0,,medio
344,0.37,0.52,2,155,3,0,1,0,,medio
345,0.1,0.86,6,278,4,0,1,0,,alto
346,0.81,1.0,4,253,5,0,1,0,,bajo
347,0.11,0.8,6,282,4,0,1,0,,medio
348,0.11,0.84,7,264,4,0,1,0,,medio
349,0.4,0.46,2,149,3,0,1,0,,medio
350,0.09,0.8,6,304,5,0,1,0,,medio
351,0.48,0.93,3,219,6,0,1,0,,bajo
352,0.91,0.91,4,262,6,0,1,0,mantenimiento,bajo
353,0.43,0.57,2,135,3,0,1,0,mantenimiento,bajo
354,0.33,0.88,6,219,5,0,1,0,mantenimiento,bajo
355,0.41,0.57,2,136,3,0,1,0,mantenimiento,bajo
356,0.41,0.55,2,154,3,0,1,0,mantenimiento,bajo
357,0.37,0.54,2,149,3,0,1,0,mantenimiento,bajo
358,0.31,0.62,6,135,5,0,1,0,mantenimiento,bajo
359,0.09,0.91,6,275,4,0,1,0,mantenimiento,bajo
360,0.1,0.87,6,290,4,0,1,0,mantenimiento,bajo
361,0.76,0.9,4,263,5,0,1,0,mantenimiento,bajo
362,0.41,0.54,2,145,3,0,1,0,mantenimiento,bajo
363,0.72,0.96,5,267,5,0,1,0,,bajo
364,0.4,0.5,2,141,3,1,1,0,,bajo
365,0.91,0.87,4,235,5,0,1,0,,bajo
366,0.1,0.83,6,258,4,0,1,0,gerencia y admon,bajo
367,0.4,0.56,2,131,3,0,1,0,sistemas,bajo
368,0.82,0.86,5,243,5,0,1,0,sistemas,bajo
369,0.1,0.82,6,266,4,0,1,0,sistemas,bajo
370,0.37,0.45,2,142,3,0,1,0,sistemas,bajo
371,0.36,0.51,2,135,3,0,1,0,sistemas,bajo
372,0.39,0.48,2,141,3,0,1,0,calidad,medio
373,0.36,0.57,2,142,3,0,1,0,calidad,medio
374,0.86,0.84,5,254,5,0,1,0,calidad,medio
375,0.73,0.99,5,262,5,0,1,0,calidad,medio
376,0.56,0.71,4,296,2,0,1,0,sistemas,medio
377,0.44,0.56,2,158,3,0,1,0,finanzas,medio
378,0.31,0.56,4,238,2,0,1,0,finanzas,medio
379,0.77,0.93,4,231,5,0,1,0,rr.hh.,medio
380,0.44,0.45,2,156,3,0,1,0,rr.hh.,medio
381,0.38,0.46,2,145,3,0,1,0,rr.hh.,medio
382,0.45,0.48,2,144,3,0,1,0,publicidad,medio
383,0.38,0.51,2,159,3,0,1,0,ventas,medio
384,0.36,0.48,2,156,3,0,1,0,finanzas,alto
385,0.75,0.9,5,256,5,0,1,0,mantenimiento,bajo
386,0.1,0.93,6,298,4,0,1,0,,medio
387,0.1,0.97,6,247,4,0,1,0,gerencia y admon,medio
388,0.45,0.5,2,157,3,0,1,0,publicidad,medio
389,0.42,0.57,2,154,3,1,1,0,publicidad,medio
390,0.78,1.0,4,253,5,0,1,0,publicidad,bajo
391,0.45,0.55,2,148,3,0,1,0,ventas,bajo
392,0.84,1.0,4,261,5,0,1,0,ventas,bajo
393,0.11,0.93,6,282,4,0,1,0,ventas,bajo
394,0.42,0.56,2,133,3,0,1,0,ventas,bajo
395,0.45,0.46,2,128,3,0,1,0,ventas,bajo
396,0.46,0.57,2,139,3,0,1,0,ventas,bajo
397,0.09,0.79,6,293,5,0,1,0,ventas,bajo
398,0.87,0.83,4,265,6,0,1,0,ventas,bajo
399,0.1,0.87,6,250,4,0,1,0,ventas,bajo
400,0.91,1.0,5,251,6,0,1,0,ventas,bajo
401,0.76,0.92,4,246,5,0,1,0,ventas,bajo
402,0.74,1.0,5,275,5,0,1,0,ventas,bajo
403,0.92,0.93,5,240,5,0,1,0,ventas,bajo
404,0.76,0.87,5,245,5,0,1,0,ventas,bajo
405,0.47,0.5,4,254,4,0,1,0,ventas,bajo
406,0.73,0.99,5,241,5,0,1,0,ventas,bajo
407,0.09,0.94,6,257,4,0,1,0,ventas,bajo
408,0.91,0.92,4,246,5,0,1,0,ventas,bajo
409,0.82,0.98,4,233,5,0,1,0,ventas,bajo
410,0.28,0.45,6,218,4,0,1,0,finanzas,bajo
411,0.84,0.99,4,262,6,0,1,0,finanzas,medio
412,0.45,0.53,2,138,3,0,1,0,finanzas,medio
413,0.45,0.54,2,142,3,0,1,0,rr.hh.,medio
414,0.91,0.97,5,233,5,0,1,0,rr.hh.,medio
415,0.42,0.48,2,155,3,0,1,0,rr.hh.,medio
416,0.82,1.0,4,229,6,0,1,0,rr.hh.,medio
417,0.11,0.9,6,264,4,0,1,0,,medio
418,0.42,0.53,3,199,4,0,1,0,,medio
419,0.82,0.85,4,223,5,0,1,0,,medio
420,0.09,0.96,6,268,4,0,1,0,,medio
421,0.1,0.94,6,287,4,0,1,0,,medio
422,0.86,1.0,5,257,5,0,1,0,,medio
423,0.4,0.46,2,143,3,0,1,0,,alto
424,0.45,0.46,2,130,3,0,1,0,,bajo
425,0.42,0.51,2,136,3,0,1,0,,medio
426,0.74,0.92,4,261,5,0,1,0,,medio
427,0.55,0.6,3,180,4,0,1,0,,medio
428,0.37,0.45,2,126,3,0,1,0,mantenimiento,medio
429,0.41,0.52,2,127,3,1,1,0,mantenimiento,bajo
430,0.89,0.65,5,195,6,0,1,0,mantenimiento,bajo
431,0.41,0.57,2,160,3,0,1,0,mantenimiento,bajo
432,0.44,0.51,2,150,3,0,1,0,mantenimiento,bajo
433,0.87,0.84,4,264,6,0,1,0,mantenimiento,bajo
434,0.1,0.84,6,309,4,0,1,0,mantenimiento,bajo
435,0.41,0.47,2,135,3,0,1,0,mantenimiento,bajo
436,0.11,0.85,6,261,4,0,1,0,mantenimiento,bajo
437,0.43,0.53,2,160,3,0,1,0,mantenimiento,bajo
438,0.77,0.9,4,237,5,0,1,0,mantenimiento,bajo
439,0.41,0.52,2,136,3,0,1,0,,bajo
440,0.41,0.48,2,139,3,0,1,0,,bajo
441,0.36,0.78,2,151,4,0,1,0,,bajo
442,0.77,1.0,5,229,5,0,1,0,gerencia y admon,bajo
443,0.81,0.98,5,245,5,0,1,0,sistemas,bajo
444,0.39,0.54,2,127,3,0,1,0,sistemas,bajo
445,0.09,0.94,6,283,5,0,1,0,sistemas,bajo
446,0.44,0.46,2,143,3,0,1,0,sistemas,bajo
447,0.1,0.84,5,298,4,0,1,0,sistemas,bajo
448,0.36,0.48,2,159,3,0,1,0,calidad,bajo
449,0.81,0.92,5,239,5,0,1,0,calidad,bajo
450,0.81,0.9,4,226,5,0,1,0,calidad,medio
451,0.85,0.98,5,248,5,0,1,0,calidad,medio
452,0.1,0.87,6,286,4,0,1,0,sistemas,medio
453,0.37,0.54,2,145,3,0,1,0,i+d,medio
454,0.09,0.97,7,254,4,1,1,0,i+d,medio
455,0.44,0.53,2,127,3,0,1,0,i+d,medio
456,0.86,0.93,5,223,5,0,1,0,i+d,medio
457,0.77,1.0,4,255,5,0,1,0,i+d,medio
458,0.41,0.48,2,136,3,0,1,0,publicidad,medio
459,0.4,0.48,2,137,3,0,1,0,ventas,medio
460,0.43,0.49,2,135,3,0,1,0,finanzas,medio
